Chemical composition of the Sun from Table 2 in [1].

[1] Asplund, M., Amarsi, A. M., & Grevesse, N. (2021). The chemical make-up of the Sun: A 2020 vision. A&A, 653, A141. https://doi.org/10.1051/0004-6361/202140445

Kind,,CI_chondrites,CI_chondrites,Photosphere,Photosphere,Comment
,,Ab,Uncert,Ab,Uncert,
Z,Symbol,,,,,
1,H,8.22,0.04,12.00,0.00,definition
2,He,1.29,0.18,10.914,0.013,helioseismology
3,Li,3.25,0.04,0.96,0.06,meteorites
4,Be,1.32,0.03,1.38,0.09,
5,B,2.79,0.04,2.70,0.20,
6,C,7.39,0.04,8.46,0.04,
7,N,6.26,0.06,7.83,0.07,
8,O,8.39,0.04,8.69,0.04,
9,F,4.42,0.06,4.40,0.25,
10,Ne,,0.18,8.06,0.05,solar wind
11,Na,6.27,0.04,6.22,0.03,
12,Mg,7.53,0.02,7.55,0.03,
13,Al,6.43,0.03,6.43,0.03,
14,Si,7.51,0.01,7.51,0.03,
15,P,5.43,0.03,5.41,0.03,
16,S,7.15,0.02,7.12,0.03,
17,Cl,5.23,0.06,5.31,0.20,
18,Ar,,0.18,6.38,0.10,solar wind
19,K,5.08,0.04,5.07,0.03,
20,Ca,6.29,0.03,6.30,0.03,
21,Sc,3.04,0.03,3.14,0.04,
22,Ti,4.90,0.03,4.97,0.05,
23,V,3.96,0.03,3.90,0.08,
24,Cr,5.63,0.02,5.62,0.04,
25,Mn,5.47,0.03,5.42,0.06,
26,Fe,7.46,0.02,7.46,0.04,
27,Co,4.87,0.02,4.94,0.05,
28,Ni,6.20,0.03,6.20,0.04,
29,Cu,4.25,0.06,4.18,0.05,
30,Zn,4.61,0.02,4.56,0.05,
31,Ga,3.07,0.03,3.02,0.05,
32,Ge,3.58,0.04,3.62,0.10,
33,As,2.30,0.04,,,meteorites
34,Se,3.34,0.03,,,meteorites
35,Br,2.54,0.06,,,meteorites
36,Kr,,0.18,3.12,0.10,solar wind
37,Rb,2.37,0.03,2.32,0.08,
38,Sr,2.88,0.03,2.83,0.06,
39,Y,2.15,0.02,2.21,0.05,
40,Zr,2.53,0.02,2.59,0.04,
41,Nb,1.42,0.04,1.47,0.06,
42,Mo,1.93,0.04,1.88,0.09,
44,Ru,1.77,0.02,1.75,0.08,
45,Rh,1.04,0.02,0.78,0.11,
46,Pd,1.65,0.02,1.57,0.10,
47,Ag,1.20,0.04,0.96,0.10,
48,Cd,1.71,0.03,,,meteorites
49,In,0.76,0.02,0.80,0.20,
50,Sn,2.07,0.06,2.02,0.10,
51,Sb,1.01,0.06,,,meteorites
52,Te,2.18,0.03,,,meteorites
53,I,1.55,0.08,,,meteorites
54,Xe,,0.18,2.22,0.05,nuclear physics
55,Cs,1.08,0.03,,,meteorites
56,Ba,2.18,0.02,2.27,0.05,
57,La,1.17,0.01,1.11,0.04,
58,Ce,1.58,0.01,1.58,0.04,
59,Pr,0.76,0.01,0.75,0.05,
60,Nd,1.45,0.01,1.42,0.04,
62,Sm,0.94,0.01,0.95,0.04,
63,Eu,0.52,0.01,0.52,0.04,
64,Gd,1.05,0.01,1.08,0.04,
65,Tb,0.31,0.01,0.31,0.10,
66,Dy,1.13,0.01,1.10,0.04,
67,Ho,0.47,0.01,0.48,0.11,
68,Er,0.93,0.01,0.93,0.05,
69,Tm,0.12,0.01,0.11,0.04,
70,Yb,0.92,0.01,0.85,0.11,
71,Lu,0.09,0.01,0.10,0.09,
72,Hf,0.71,0.01,0.85,0.05,
73,Ta,-0.15,0.04,,,meteorites
74,W,0.65,0.04,0.79,0.11,
75,Re,0.26,0.02,,,meteorites
76,Os,1.35,0.02,1.35,0.12,
77,Ir,1.32,0.02,,,meteorites
78,Pt,1.61,0.02,,,meteorites
79,Au,0.81,0.05,0.91,0.12,
80,Hg,1.17,0.18,,,meteorites
81,Tl,0.77,0.05,0.92,0.17,
82,Pb,2.03,0.03,1.95,0.08,
83,Bi,0.65,0.04,,,meteorites
90,Th,0.04,0.03,0.03,0.10,
92,U,-0.54,0.03,,,meteorites
