time,delk1,delk2,delwb,emdx,k2vk3,k3,milliseconds,viored
1976-11-20,0.61952,0.385926,1.58374,0.0885287,1.57479,0.0617695,217296000000,1.2282
1976-11-21,0.595085,0.379013,1.56998,0.0889036,1.57112,0.0623344,217382400000,1.25732
1976-11-29,0.584954,0.394724,1.57246,0.0900638,1.50833,0.0646079,218073600000,1.29763
1976-12-04,0.604431,0.359156,1.56527,0.0919987,1.49264,0.0671707,218505600000,1.26499
1976-12-07,0.555119,0.376258,1.55051,0.0918257,1.5088,0.0672337,218764800000,1.34097
1976-12-19,0.602463,0.398076,1.58161,0.0906309,1.54159,0.0641369,219801600000,1.28395
1976-12-22,0.588969,0.405196,1.57884,0.0906008,1.53381,0.0646645,220060800000,1.28042
1977-01-06,0.611505,0.374484,1.57525,0.0893361,1.52858,0.0640332,221356800000,1.26571
1977-01-16,0.587424,0.359739,1.55781,0.0897504,1.52097,0.0640826,222220800000,1.27434
1977-01-25,0.595559,0.366612,1.56463,0.0914622,1.57302,0.0639661,222998400000,1.24072
1977-01-26,0.626363,0.393155,1.58978,0.0910504,1.54117,0.065161,223084800000,1.257
1977-01-27,0.590938,0.376275,1.5669,0.0886334,1.58427,0.0614983,223171200000,1.26948
1977-01-31,0.620927,0.39634,1.58882,0.0897065,1.54919,0.063385,223516800000,1.25678
1977-02-01,0.593516,0.387575,1.57309,0.0886853,1.54551,0.0635952,223603200000,1.27783
1977-02-03,0.567316,0.379398,1.5576,0.0878896,1.57398,0.0624005,223776000000,1.27575
1977-02-04,0.591979,0.379005,1.56859,0.0891795,1.55945,0.0633652,223862400000,1.31425
1977-02-06,0.612172,0.393575,1.58387,0.0908683,1.53088,0.0653679,224035200000,1.32573
1977-02-08,0.601979,0.373048,1.5704,0.0922943,1.48848,0.0683611,224208000000,1.32582
1977-02-09,0.614138,0.371803,1.57523,0.0890977,1.59311,0.0616794,224294400000,1.27391
1977-02-11,0.57758,0.373411,1.55956,0.0892392,1.56501,0.0626797,224467200000,1.30175
1977-02-12,0.596557,0.381304,1.57166,0.086461,1.51058,0.0621319,224553600000,1.15798
1977-02-14,0.601419,0.370632,1.56907,0.0890748,1.57333,0.062986,224726400000,1.30745
1977-02-15,0.592015,0.375771,1.56716,0.0895384,1.54975,0.0637753,224812800000,1.27217
1977-02-17,0.575853,0.382555,1.56293,0.0889399,1.53266,0.0641271,224985600000,1.31843
1977-02-19,0.608554,0.388367,1.58004,0.0895975,1.5713,0.062839,225158400000,1.25625
1977-02-23,0.599937,0.391437,1.57762,0.0888369,1.54513,0.0623709,225504000000,1.26234
1977-02-28,0.549564,0.375271,1.54745,0.0883685,1.54213,0.06293,225936000000,1.26697
1977-03-02,0.585547,0.378857,1.56564,0.089703,1.55504,0.0635911,226108800000,1.2798
1977-03-06,0.586091,0.377648,1.56534,0.0902614,1.55113,0.0641407,226454400000,1.2355
1977-03-11,0.60427,0.366805,1.56863,0.0902629,1.56505,0.0639812,226886400000,1.28436
1977-03-20,0.570395,0.388709,1.56325,0.0885741,1.53599,0.0632096,227664000000,1.27138
1977-03-21,0.550845,0.374983,1.54791,0.0885327,1.54409,0.0628457,227750400000,1.31403
1977-04-02,0.614874,0.395807,1.58599,0.089385,1.55596,0.063536,228787200000,1.26036
1977-04-06,0.618522,0.382545,1.58184,0.0902812,1.5434,0.0642765,229132800000,1.26879
1977-04-11,0.575215,0.370685,1.55723,0.0885817,1.54457,0.0631155,229564800000,1.25919
1977-04-12,0.566219,0.370292,1.55289,0.0901728,1.51892,0.0645847,229651200000,1.31578
1977-05-01,0.581528,0.361492,1.5559,0.0919521,1.52022,0.0659087,231292800000,1.29928
1977-05-06,0.57631,0.367905,1.55645,0.0914347,1.50337,0.0660132,231724800000,1.27538
1977-05-07,0.553501,0.370938,1.54726,0.0905798,1.50671,0.0650745,231811200000,1.27211
1977-05-09,0.574345,0.369846,1.55644,0.0909445,1.48536,0.0659164,231984000000,1.29566
1977-05-10,0.609892,0.386315,1.57973,0.0899387,1.54266,0.0644331,232070400000,1.27864
1977-12-12,0.629396,0.366126,1.57943,0.0915343,1.54324,0.0664558,250732800000,1.27449
1978-01-08,0.663043,0.374205,1.59726,0.0909766,1.58137,0.0644137,253065600000,1.23136
1978-02-24,0.66417,0.363464,1.59322,0.0965807,1.53249,0.0713326,257126400000,1.20157
1978-03-14,0.638945,0.3591,1.58053,0.0931967,1.53418,0.0680883,258681600000,1.23902
1978-03-17,0.6376,0.370486,1.58488,0.094366,1.51167,0.0698014,258940800000,1.25428
1978-04-07,0.672152,0.355968,1.59342,0.0983329,1.46667,0.0757584,260755200000,1.24896
1978-04-26,0.647965,0.371502,1.58975,0.0942186,1.52617,0.0687717,262396800000,1.21143
1978-04-28,0.671932,0.358254,1.5943,0.0948586,1.52952,0.0709489,262569600000,1.2615
1978-07-19,0.709356,0.387294,1.62145,0.0951674,1.50162,0.0716914,269654400000,1.20237
1978-09-02,0.668126,0.372436,1.59865,0.0937468,1.54178,0.0686121,273542400000,1.2696
1978-09-04,0.67755,0.382806,1.60683,0.0938433,1.56165,0.0685238,273715200000,1.26941
1978-10-01,0.689749,0.373828,1.60815,0.0943751,1.54644,0.0696224,276048000000,1.22909
1978-10-08,0.622176,0.368571,1.57734,0.094223,1.50917,0.0693372,276652800000,1.18071
1978-10-14,0.71026,0.371426,1.61548,0.0970438,1.50752,0.0726259,277171200000,1.20724
1978-10-29,0.628312,0.364868,1.57841,0.0978698,1.44867,0.0754231,278467200000,1.21263
1978-10-30,0.656017,0.362819,1.58948,0.0977518,1.50488,0.0743288,278553600000,1.26442
1978-11-17,0.677458,0.362898,1.59856,0.0951189,1.48273,0.0717809,280108800000,1.25274
1978-11-18,0.669142,0.37879,1.60171,0.092749,1.52551,0.0684732,280195200000,1.25523
1978-11-19,0.632809,0.378871,1.58642,0.0927686,1.48903,0.0692913,280281600000,1.24503
1979-01-13,0.690773,0.363513,1.60434,0.0965461,1.49915,0.0734793,285033600000,1.23221
1979-03-25,0.678317,0.404818,1.61606,0.0937442,1.52863,0.0674325,291168000000,1.15216
1979-04-15,0.707711,0.356404,1.60837,0.1004098,1.44337,0.0800201,292982400000,1.17977
1979-04-17,0.70868,0.349368,1.60589,0.0977509,1.48053,0.0754336,293155200000,1.21838
1979-04-30,0.692156,0.35573,1.60169,0.0988654,1.48696,0.0762278,294278400000,1.20404
1979-05-13,0.686324,0.365937,1.6035,0.0980696,1.4755,0.0765206,295401600000,1.2248
1979-05-14,0.662023,0.363961,1.59252,0.0973917,1.48842,0.0754088,295488000000,1.21425
1979-07-09,0.704545,0.340396,1.60047,0.099698,1.44401,0.0778152,300326400000,1.17402
1979-08-27,0.708545,0.360452,1.61036,0.0990941,1.47262,0.0770359,304560000000,1.19958
1979-08-31,0.67412,0.372081,1.601,0.0991829,1.47731,0.0761116,304905600000,1.24268
1980-02-21,0.678795,0.369111,1.6017,0.0922438,1.52476,0.0681943,319939200000,1.19403
1980-02-23,0.642782,0.368745,1.58636,0.0935981,1.53167,0.0681576,320112000000,1.22722
1980-02-26,0.694005,0.355713,1.60245,0.0987321,1.48945,0.0745307,320371200000,1.19894
1980-03-26,0.747603,0.351849,1.62256,0.101277,1.43205,0.0809051,322876800000,1.19001
1980-04-18,0.686601,0.374085,1.60697,0.0963772,1.50408,0.0733506,324864000000,1.25051
1980-04-19,0.713517,0.372129,1.61707,0.0981359,1.51853,0.075072,324950400000,1.26936
1980-08-27,0.679774,0.363648,1.59984,0.0979446,1.49618,0.0738811,336182400000,1.21394
1980-08-28,0.661304,0.361133,1.59102,0.0964164,1.49297,0.0729578,336268800000,1.22704
1980-11-06,0.710208,0.355759,1.60912,0.1016363,1.42137,0.0820962,342316800000,1.20184
1980-11-07,0.669275,0.343831,1.58704,0.1013228,1.40973,0.0819785,342403200000,1.1918
1980-12-02,0.711298,0.361102,1.61174,0.1001515,1.43707,0.0797045,344563200000,1.21383
1980-12-03,0.702838,0.354819,1.60573,0.0997951,1.43559,0.0795298,344649600000,1.19413
1980-12-04,0.735529,0.35675,1.61971,0.1040806,1.4059,0.0850286,344736000000,1.18412
1980-12-05,0.695522,0.350915,1.60109,0.0976709,1.46576,0.076329,344822400000,1.17639
1980-12-11,0.712509,0.378624,1.61926,0.0984401,1.46109,0.0769523,345340800000,1.26294
1980-12-17,0.728896,0.351492,1.61496,0.1005867,1.44638,0.079711,345859200000,1.24205
1980-12-21,0.699901,0.362844,1.60781,0.0992457,1.44996,0.0778688,346204800000,1.19007
1980-12-27,0.692256,0.363631,1.605,0.0978742,1.47236,0.0754364,346723200000,1.16658
1980-12-31,0.700039,0.352725,1.60371,0.0996327,1.45275,0.0778075,347068800000,1.18616
1981-01-02,0.694799,0.369555,1.60847,0.0983937,1.46926,0.0772285,347241600000,1.20232
1981-01-21,0.711073,0.367831,1.61436,0.0966214,1.45839,0.0746549,348883200000,1.20336
1981-01-22,0.705531,0.376541,1.61564,0.0975796,1.46088,0.0758951,348969600000,1.26592
1981-01-27,0.7128,0.362511,1.61291,0.0982357,1.47171,0.0759071,349401600000,1.21338
1981-01-31,0.68144,0.343594,1.59212,0.0956999,1.51114,0.0727801,349747200000,1.26502
1981-02-01,0.688837,0.361884,1.60287,0.0975744,1.47276,0.0757394,349833600000,1.2681
1981-02-05,0.691289,0.363549,1.60457,0.0974866,1.46314,0.0761224,350179200000,1.21558
1981-02-07,0.676367,0.362084,1.59777,0.0971144,1.45325,0.075884,350352000000,1.22106
1981-02-08,0.693014,0.357288,1.60269,0.0979913,1.46093,0.0765394,350438400000,1.26376
1981-02-11,0.664162,0.356463,1.59025,0.0963803,1.46405,0.0745691,350697600000,1.24315
1981-02-12,0.68403,0.370496,1.60444,0.0956447,1.47416,0.0731664,350784000000,1.2636
1981-02-24,0.671875,0.368541,1.59859,0.0981035,1.47229,0.0759282,351820800000,1.31741
1981-03-08,0.686243,0.369836,1.60508,0.096594,1.53211,0.0725844,352857600000,1.26258
1981-03-15,0.694038,0.362833,1.6054,0.0979871,1.48361,0.0748373,353462400000,1.22392
1981-03-17,0.706311,0.357967,1.60844,0.0966581,1.48609,0.0745228,353635200000,1.2241
1981-03-18,0.656765,0.363316,1.59002,0.0954641,1.48793,0.0719397,353721600000,1.2181
1981-03-22,0.699581,0.355908,1.60483,0.0984427,1.48128,0.0763941,354067200000,1.25295
1981-03-23,0.690338,0.356405,1.60122,0.0963661,1.47861,0.0740908,354153600000,1.23729
1981-03-30,0.698689,0.36269,1.60725,0.098933,1.49303,0.0766118,354758400000,1.26143
1981-03-31,0.695848,0.370057,1.6091,0.0986531,1.49771,0.0756581,354844800000,1.25542
1981-04-01,0.693568,0.364348,1.60583,0.1000792,1.46596,0.0784951,354931200000,1.24463
1981-04-05,0.668781,0.362284,1.59467,0.0982856,1.43204,0.078394,355276800000,1.25054
1981-04-11,0.705353,0.355896,1.6072,0.1002233,1.44545,0.0801774,355795200000,1.27045
1981-04-19,0.67658,0.350312,1.59291,0.0976896,1.47422,0.0760571,356486400000,1.23113
1981-04-28,0.648246,0.35998,1.58494,0.0986046,1.48333,0.0751171,357264000000,1.21847
1981-05-03,0.668984,0.362478,1.59483,0.0982598,1.48201,0.0763495,357696000000,1.25136
1981-05-04,0.709062,0.390813,1.62272,0.098686,1.34459,0.0805479,357782400000,1.27275
1981-05-06,0.715931,0.373771,1.61869,0.0997806,1.31481,0.0844205,357955200000,1.25784
1981-05-07,0.699175,0.363597,1.60782,0.0992053,1.42283,0.0785918,358041600000,1.23062
1981-05-08,0.692448,0.360028,1.60359,0.0990318,1.47376,0.0767184,358128000000,1.21145
1981-05-09,0.669414,0.35731,1.59283,0.0964924,1.47117,0.0744783,358214400000,1.22284
1981-05-14,0.672274,0.364579,1.5971,0.0970915,1.50987,0.0734146,358646400000,1.25568
1981-05-15,0.677392,0.348105,1.59232,0.0979941,1.48598,0.0749563,358732800000,1.19042
1981-05-16,0.703217,0.338345,1.59907,0.1010334,1.43511,0.0802277,358819200000,1.24801
1981-05-18,0.680589,0.366436,1.60134,0.0967695,1.48201,0.0737934,358992000000,1.2214
1981-05-24,0.668204,0.368514,1.59704,0.0964579,1.50926,0.0726617,359510400000,1.26031
1981-06-01,0.64671,0.366314,1.587,0.095366,1.51572,0.071378,360201600000,1.28842
1981-06-02,0.663761,0.361075,1.59204,0.095036,1.50812,0.0708339,360288000000,1.22073
1981-06-06,0.63544,0.359355,1.57911,0.0973648,1.48507,0.0735308,360633600000,1.30096
1981-06-07,0.646859,0.361767,1.58511,0.096601,1.49555,0.072218,360720000000,1.22678
1981-06-08,0.693015,0.364685,1.60574,0.0963103,1.50445,0.0720651,360806400000,1.26633
1981-06-09,0.644772,0.365016,1.58561,0.0936426,1.5412,0.0688755,360892800000,1.28009
1981-06-11,0.62738,0.365333,1.5782,0.0959381,1.51064,0.0714345,361065600000,1.23077
1981-06-12,0.656068,0.360386,1.58847,0.0958344,1.49219,0.0727243,361152000000,1.27572
1981-06-13,0.701934,0.362099,1.60834,0.0977232,1.48417,0.0745779,361238400000,1.24519
1981-06-20,0.706156,0.357351,1.60812,0.0978496,1.50137,0.0738713,361843200000,1.21245
1981-07-18,0.684232,0.355623,1.59835,0.0960322,1.49005,0.0730466,364262400000,1.2265
1981-07-19,0.667111,0.349563,1.58856,0.0976629,1.45324,0.0765918,364348800000,1.27879
1981-09-19,0.670252,0.349887,1.59004,0.0998581,1.46928,0.0777712,369705600000,1.22821
1981-09-20,0.679107,0.347366,1.59273,0.0991261,1.47539,0.0772402,369792000000,1.22109
1981-10-04,0.705708,0.349986,1.60492,0.1015889,1.47132,0.0798738,371001600000,1.23763
1981-10-18,0.701963,0.339178,1.59889,0.1026086,1.43601,0.083029,372211200000,1.20367
1981-10-25,0.674218,0.356132,1.59437,0.098471,1.49664,0.074641,372816000000,1.25127
1981-11-01,0.709445,0.354349,1.60824,0.1003653,1.46622,0.0795785,373420800000,1.20676
1981-11-02,0.709841,0.359232,1.61039,0.1006542,1.46205,0.079437,373507200000,1.21958
1981-11-17,0.663081,0.361543,1.59195,0.0994895,1.48337,0.0762054,374803200000,1.23848
1981-12-08,0.718194,0.342692,1.60705,0.1042905,1.42652,0.0855819,376617600000,1.23295
1981-12-15,0.677564,0.372731,1.60269,0.0983584,1.52762,0.073689,377222400000,1.23408
1982-01-25,0.678146,0.369607,1.60164,0.0981796,1.47472,0.0749344,380764800000,1.25047
1982-02-20,0.651383,0.353443,1.58347,0.0970312,1.49372,0.0742168,383011200000,1.26123
1982-02-28,0.687942,0.346624,1.59614,0.1033081,1.43439,0.0835383,383702400000,1.21888
1982-03-01,0.712718,0.338533,1.60309,0.1032738,1.45655,0.0826115,383788800000,1.20301
1982-03-20,0.663794,0.364317,1.59342,0.0974496,1.49172,0.0750544,385430400000,1.26763
1982-03-21,0.681771,0.35277,1.59613,0.0986036,1.47469,0.0766955,385516800000,1.2202
1982-03-23,0.678156,0.36474,1.59962,0.0976699,1.48347,0.0748246,385689600000,1.22657
1982-03-27,0.708476,0.35351,1.6075,0.0999662,1.47687,0.0786,386035200000,1.23339
1982-03-28,0.704783,0.337882,1.59953,0.1020883,1.43034,0.0822732,386121600000,1.17702
1982-04-04,0.654169,0.37234,1.59274,0.0965923,1.50506,0.0725015,386726400000,1.26033
1982-04-05,0.66595,0.363437,1.59396,0.0952535,1.5295,0.0704921,386812800000,1.22345
1982-04-08,0.649462,0.356218,1.58384,0.0964767,1.48637,0.0743619,387072000000,1.24678
1982-04-10,0.695792,0.348049,1.60002,0.0980914,1.48092,0.0758993,387244800000,1.22545
