,definitive,month,n_obs,ssn,std,std_error,year,year_fraction
1749-01-01,True,1,NaN,96.7,NaN,NaN,1749,1749.0420000000001
1749-02-01,True,2,NaN,104.3,NaN,NaN,1749,1749.1229999999998
1749-03-01,True,3,NaN,116.7,NaN,NaN,1749,1749.204
1749-04-01,True,4,NaN,92.8,NaN,NaN,1749,1749.2879999999998
1749-05-01,True,5,NaN,141.7,NaN,NaN,1749,1749.371
1749-06-01,True,6,NaN,139.2,NaN,NaN,1749,1749.455
1749-07-01,True,7,NaN,158.0,NaN,NaN,1749,1749.5379999999998
1749-08-01,True,8,NaN,110.5,NaN,NaN,1749,1749.6229999999998
1749-09-01,True,9,NaN,126.5,NaN,NaN,1749,1749.707
1749-10-01,True,10,NaN,125.8,NaN,NaN,1749,1749.79
1749-11-01,True,11,NaN,264.3,NaN,NaN,1749,1749.874
1749-12-01,True,12,NaN,142.0,NaN,NaN,1749,1749.9579999999999
1750-01-01,True,1,NaN,122.2,NaN,NaN,1750,1750.0420000000001
1750-02-01,True,2,NaN,126.5,NaN,NaN,1750,1750.1229999999998
1750-03-01,True,3,NaN,148.7,NaN,NaN,1750,1750.204
1750-04-01,True,4,NaN,147.2,NaN,NaN,1750,1750.2879999999998
1750-05-01,True,5,NaN,150.0,NaN,NaN,1750,1750.371
1750-06-01,True,6,NaN,166.7,NaN,NaN,1750,1750.455
1750-07-01,True,7,NaN,142.3,NaN,NaN,1750,1750.5379999999998
1750-08-01,True,8,NaN,171.7,NaN,NaN,1750,1750.6229999999998
1750-09-01,True,9,NaN,152.0,NaN,NaN,1750,1750.707
1750-10-01,True,10,NaN,109.5,NaN,NaN,1750,1750.79
1750-11-01,True,11,NaN,105.5,NaN,NaN,1750,1750.874
1750-12-01,True,12,NaN,125.7,NaN,NaN,1750,1750.9579999999999
1751-01-01,True,1,NaN,116.7,NaN,NaN,1751,1751.0420000000001
1751-02-01,True,2,NaN,72.5,NaN,NaN,1751,1751.1229999999998
1751-03-01,True,3,NaN,75.5,NaN,NaN,1751,1751.204
1751-04-01,True,4,NaN,94.0,NaN,NaN,1751,1751.2879999999998
1751-05-01,True,5,NaN,101.2,NaN,NaN,1751,1751.371
1751-06-01,True,6,NaN,84.5,NaN,NaN,1751,1751.455
1751-07-01,True,7,NaN,110.5,NaN,NaN,1751,1751.5379999999998
1751-08-01,True,8,NaN,99.7,NaN,NaN,1751,1751.6229999999998
1751-09-01,True,9,NaN,39.2,NaN,NaN,1751,1751.707
1751-10-01,True,10,NaN,38.7,NaN,NaN,1751,1751.79
1751-11-01,True,11,NaN,47.5,NaN,NaN,1751,1751.874
1751-12-01,True,12,NaN,73.3,NaN,NaN,1751,1751.9579999999999
1752-01-01,True,1,NaN,58.3,NaN,NaN,1752,1752.0420000000001
