time,LymanAlpha,milliseconds,type
1947-02-14,6.29,-722044800000,5
1947-02-15,6.2,-721958400000,5
1947-02-16,6.1,-721872000000,5
1947-02-17,5.93,-721785600000,5
1947-02-18,5.69,-721699200000,5
1947-02-19,5.41,-721612800000,5
1947-02-20,5.23,-721526400000,5
1947-02-21,5.17,-721440000000,5
1947-02-22,5.17,-721353600000,5
1947-02-23,5.17,-721267200000,5
1947-02-24,5.3,-721180800000,5
1947-02-25,5.33,-721094400000,5
1947-02-26,5.49,-721008000000,5
1947-02-27,5.66,-720921600000,5
1947-02-28,5.98,-720835200000,5
1947-03-01,6.21,-720748800000,5
1947-03-02,6.37,-720662400000,5
1947-03-03,6.53,-720576000000,5
1947-03-04,6.68,-720489600000,5
1947-03-05,6.78,-720403200000,5
1947-03-06,6.88,-720316800000,5
1947-03-07,7.01,-720230400000,5
1947-03-08,7.11,-720144000000,5
1947-03-09,7.12,-720057600000,5
1947-03-10,6.98,-719971200000,5
1947-03-11,6.88,-719884800000,5
1947-03-12,6.99,-719798400000,5
1947-03-13,6.86,-719712000000,5
1947-03-14,6.56,-719625600000,5
1947-03-15,5.99,-719539200000,5
1947-03-16,5.64,-719452800000,5
1947-03-17,5.35,-719366400000,5
1947-03-18,5.07,-719280000000,5
1947-03-19,4.89,-719193600000,5
1947-03-20,4.85,-719107200000,5
1947-03-21,4.94,-719020800000,5
1947-03-22,5.04,-718934400000,5
1947-03-23,5.11,-718848000000,5
1947-03-24,5.12,-718761600000,5
1947-03-25,5.32,-718675200000,5
1947-03-26,5.53,-718588800000,5
1947-03-27,5.77,-718502400000,5
1947-03-28,5.86,-718416000000,5
1947-03-29,5.93,-718329600000,5
1947-03-30,6.04,-718243200000,5
1947-03-31,6.09,-718156800000,5
1947-04-01,6.15,-718070400000,5
1947-04-02,6.23,-717984000000,5
1947-04-03,6.31,-717897600000,5
1947-04-04,6.46,-717811200000,5
1947-04-05,6.62,-717724800000,5
1947-04-06,6.86,-717638400000,5
1947-04-07,6.98,-717552000000,5
1947-04-08,6.91,-717465600000,5
1947-04-09,6.74,-717379200000,5
1947-04-10,6.55,-717292800000,5
1947-04-11,6.35,-717206400000,5
1947-04-12,6.12,-717120000000,5
1947-04-13,5.87,-717033600000,5
1947-04-14,5.73,-716947200000,5
1947-04-15,5.64,-716860800000,5
1947-04-16,5.62,-716774400000,5
1947-04-17,5.6,-716688000000,5
1947-04-18,5.59,-716601600000,5
1947-04-19,5.58,-716515200000,5
1947-04-20,5.58,-716428800000,5
1947-04-21,5.6,-716342400000,5
1947-04-22,5.66,-716256000000,5
1947-04-23,5.8,-716169600000,5
1947-04-24,5.95,-716083200000,5
1947-04-25,6.15,-715996800000,5
1947-04-26,6.26,-715910400000,5
1947-04-27,6.35,-715824000000,5
1947-04-28,6.35,-715737600000,5
1947-04-29,6.36,-715651200000,5
1947-04-30,6.33,-715564800000,5
1947-05-01,6.28,-715478400000,5
1947-05-02,6.25,-715392000000,5
1947-05-03,6.27,-715305600000,5
1947-05-04,6.26,-715219200000,5
1947-05-05,6.17,-715132800000,5
1947-05-06,6.11,-715046400000,5
1947-05-07,6.04,-714960000000,5
1947-05-08,6.04,-714873600000,5
1947-05-09,6.02,-714787200000,5
1947-05-10,6.02,-714700800000,5
1947-05-11,6.06,-714614400000,5
1947-05-12,6.12,-714528000000,5
1947-05-13,6.05,-714441600000,5
1947-05-14,5.94,-714355200000,5
1947-05-15,5.89,-714268800000,5
1947-05-16,5.97,-714182400000,5
1947-05-17,6.08,-714096000000,5
1947-05-18,6.1,-714009600000,5
1947-05-19,6.17,-713923200000,5
1947-05-20,6.31,-713836800000,5
1947-05-21,6.38,-713750400000,5
1947-05-22,6.45,-713664000000,5
1947-05-23,6.43,-713577600000,5
1947-05-24,6.46,-713491200000,5
1947-05-25,6.42,-713404800000,5
1947-05-26,6.38,-713318400000,5
1947-05-27,6.43,-713232000000,5
1947-05-28,6.47,-713145600000,5
1947-05-29,6.47,-713059200000,5
1947-05-30,6.33,-712972800000,5
1947-05-31,6.21,-712886400000,5
1947-06-01,6.15,-712800000000,5
1947-06-02,6.09,-712713600000,5
1947-06-03,6.02,-712627200000,5
1947-06-04,5.95,-712540800000,5
1947-06-05,5.93,-712454400000,5
1947-06-06,5.97,-712368000000,5
1947-06-07,6.02,-712281600000,5
1947-06-08,6.07,-712195200000,5
1947-06-09,6.07,-712108800000,5
1947-06-10,5.96,-712022400000,5
1947-06-11,5.76,-711936000000,5
1947-06-12,5.62,-711849600000,5
1947-06-13,5.59,-711763200000,5
1947-06-14,5.65,-711676800000,5
1947-06-15,5.67,-711590400000,5
1947-06-16,5.74,-711504000000,5
1947-06-17,5.89,-711417600000,5
1947-06-18,6.08,-711331200000,5
1947-06-19,6.19,-711244800000,5
1947-06-20,6.25,-711158400000,5
1947-06-21,6.26,-711072000000,5
1947-06-22,6.28,-710985600000,5
1947-06-23,6.23,-710899200000,5
1947-06-24,6.19,-710812800000,5
1947-06-25,6.11,-710726400000,5
1947-06-26,6.04,-710640000000,5
1947-06-27,6.01,-710553600000,5
1947-06-28,6.0,-710467200000,5
1947-06-29,5.97,-710380800000,5
1947-06-30,5.89,-710294400000,5
1947-07-01,5.83,-710208000000,5
1947-07-02,5.81,-710121600000,5
1947-07-03,5.81,-710035200000,5
1947-07-04,5.82,-709948800000,5
1947-07-05,5.83,-709862400000,5
1947-07-06,5.84,-709776000000,5
1947-07-07,5.84,-709689600000,5
1947-07-08,5.81,-709603200000,5
1947-07-09,5.8,-709516800000,5
1947-07-10,5.81,-709430400000,5
1947-07-11,5.83,-709344000000,5
1947-07-12,5.83,-709257600000,5
1947-07-13,5.83,-709171200000,5
1947-07-14,5.87,-709084800000,5
1947-07-15,5.96,-708998400000,5
1947-07-16,6.05,-708912000000,5
1947-07-17,6.1,-708825600000,5
1947-07-18,6.09,-708739200000,5
1947-07-19,6.04,-708652800000,5
1947-07-20,6.03,-708566400000,5
1947-07-21,6.03,-708480000000,5
1947-07-22,6.02,-708393600000,5
1947-07-23,6.01,-708307200000,5
1947-07-24,5.91,-708220800000,5
1947-07-25,5.85,-708134400000,5
1947-07-26,5.75,-708048000000,5
1947-07-27,5.67,-707961600000,5
1947-07-28,5.6,-707875200000,5
1947-07-29,5.59,-707788800000,5
1947-07-30,5.69,-707702400000,5
1947-07-31,5.78,-707616000000,5
1947-08-01,5.88,-707529600000,5
1947-08-02,5.93,-707443200000,5
1947-08-03,5.97,-707356800000,5
1947-08-04,5.99,-707270400000,5
1947-08-05,6.01,-707184000000,5
1947-08-06,6.09,-707097600000,5
1947-08-07,6.17,-707011200000,5
1947-08-08,6.26,-706924800000,5
1947-08-09,6.28,-706838400000,5
1947-08-10,6.32,-706752000000,5
1947-08-11,6.33,-706665600000,5
1947-08-12,6.3,-706579200000,5
1947-08-13,6.27,-706492800000,5
1947-08-14,6.19,-706406400000,5
1947-08-15,6.07,-706320000000,5
1947-08-16,5.93,-706233600000,5
1947-08-17,5.8,-706147200000,5
1947-08-18,5.72,-706060800000,5
1947-08-19,5.64,-705974400000,5
1947-08-20,5.55,-705888000000,5
1947-08-21,5.47,-705801600000,5
1947-08-22,5.42,-705715200000,5
1947-08-23,5.4,-705628800000,5
1947-08-24,5.4,-705542400000,5
1947-08-25,5.45,-705456000000,5
1947-08-26,5.53,-705369600000,5
1947-08-27,5.62,-705283200000,5
1947-08-28,5.69,-705196800000,5
1947-08-29,5.8,-705110400000,5
1947-08-30,5.9,-705024000000,5
1947-08-31,5.98,-704937600000,5
1947-09-01,6.01,-704851200000,5
1947-09-02,5.98,-704764800000,5
1947-09-03,5.93,-704678400000,5
1947-09-04,5.87,-704592000000,5
1947-09-05,5.86,-704505600000,5
1947-09-06,5.86,-704419200000,5
1947-09-07,5.86,-704332800000,5
1947-09-08,5.84,-704246400000,5
1947-09-09,5.83,-704160000000,5
1947-09-10,5.74,-704073600000,5
1947-09-11,5.66,-703987200000,5
1947-09-12,5.6,-703900800000,5
1947-09-13,5.59,-703814400000,5
1947-09-14,5.56,-703728000000,5
1947-09-15,5.48,-703641600000,5
1947-09-16,5.42,-703555200000,5
1947-09-17,5.4,-703468800000,5
1947-09-18,5.39,-703382400000,5
1947-09-19,5.35,-703296000000,5
1947-09-20,5.33,-703209600000,5
1947-09-21,5.32,-703123200000,5
1947-09-22,5.39,-703036800000,5
1947-09-23,5.52,-702950400000,5
1947-09-24,5.64,-702864000000,5
1947-09-25,5.68,-702777600000,5
1947-09-26,5.64,-702691200000,5
1947-09-27,5.6,-702604800000,5
1947-09-28,5.59,-702518400000,5
1947-09-29,5.64,-702432000000,5
1947-09-30,5.64,-702345600000,5
1947-10-01,5.68,-702259200000,5
1947-10-02,5.72,-702172800000,5
1947-10-03,5.84,-702086400000,5
1947-10-04,5.9,-702000000000,5
1947-10-05,5.88,-701913600000,5
1947-10-06,5.83,-701827200000,5
1947-10-07,5.79,-701740800000,5
1947-10-08,5.77,-701654400000,5
1947-10-09,5.71,-701568000000,5
1947-10-10,5.64,-701481600000,5
1947-10-11,5.58,-701395200000,5
1947-10-12,5.5,-701308800000,5
1947-10-13,5.41,-701222400000,5
1947-10-14,5.31,-701136000000,5
1947-10-15,5.27,-701049600000,5
1947-10-16,5.29,-700963200000,5
1947-10-17,5.28,-700876800000,5
1947-10-18,5.3,-700790400000,5
1947-10-19,5.35,-700704000000,5
1947-10-20,5.44,-700617600000,5
1947-10-21,5.52,-700531200000,5
1947-10-22,5.6,-700444800000,5
1947-10-23,5.69,-700358400000,5
1947-10-24,5.73,-700272000000,5
