,definitive,month,n_obs,ssn,std,std_error,year,year_fraction
1749-01-01,True,1,NaN,NaN,NaN,NaN,1749,1749.0420000000001
1749-02-01,True,2,NaN,NaN,NaN,NaN,1749,1749.1229999999998
1749-03-01,True,3,NaN,NaN,NaN,NaN,1749,1749.204
1749-04-01,True,4,NaN,NaN,NaN,NaN,1749,1749.2879999999998
1749-05-01,True,5,NaN,NaN,NaN,NaN,1749,1749.371
1749-06-01,True,6,NaN,NaN,NaN,NaN,1749,1749.455
1749-07-01,True,7,NaN,135.9,NaN,NaN,1749,1749.5379999999998
1749-08-01,True,8,NaN,137.9,NaN,NaN,1749,1749.6229999999998
1749-09-01,True,9,NaN,140.2,NaN,NaN,1749,1749.707
1749-10-01,True,10,NaN,143.8,NaN,NaN,1749,1749.79
1749-11-01,True,11,NaN,146.4,NaN,NaN,1749,1749.874
1749-12-01,True,12,NaN,147.9,NaN,NaN,1749,1749.9579999999999
1750-01-01,True,1,NaN,148.4,NaN,NaN,1750,1750.0420000000001
1750-02-01,True,2,NaN,150.3,NaN,NaN,1750,1750.1229999999998
1750-03-01,True,3,NaN,153.9,NaN,NaN,1750,1750.204
1750-04-01,True,4,NaN,154.3,NaN,NaN,1750,1750.2879999999998
1750-05-01,True,5,NaN,147.0,NaN,NaN,1750,1750.371
1750-06-01,True,6,NaN,139.7,NaN,NaN,1750,1750.455
1750-07-01,True,7,NaN,138.8,NaN,NaN,1750,1750.5379999999998
1750-08-01,True,8,NaN,136.3,NaN,NaN,1750,1750.6229999999998
1750-09-01,True,9,NaN,131.0,NaN,NaN,1750,1750.707
1750-10-01,True,10,NaN,125.7,NaN,NaN,1750,1750.79
1750-11-01,True,11,NaN,121.5,NaN,NaN,1750,1750.874
1750-12-01,True,12,NaN,116.0,NaN,NaN,1750,1750.9579999999999
1751-01-01,True,1,NaN,111.3,NaN,NaN,1751,1751.0420000000001
1751-02-01,True,2,NaN,106.9,NaN,NaN,1751,1751.1229999999998
1751-03-01,True,3,NaN,99.2,NaN,NaN,1751,1751.204
1751-04-01,True,4,NaN,91.6,NaN,NaN,1751,1751.2879999999998
1751-05-01,True,5,NaN,86.2,NaN,NaN,1751,1751.371
1751-06-01,True,6,NaN,81.6,NaN,NaN,1751,1751.455
1751-07-01,True,7,NaN,77.0,NaN,NaN,1751,1751.5379999999998
1751-08-01,True,8,NaN,75.0,NaN,NaN,1751,1751.6229999999998
1751-09-01,True,9,NaN,77.3,NaN,NaN,1751,1751.707
1751-10-01,True,10,NaN,79.2,NaN,NaN,1751,1751.79
1751-11-01,True,11,NaN,79.4,NaN,NaN,1751,1751.874
1751-12-01,True,12,NaN,78.5,NaN,NaN,1751,1751.9579999999999
1752-01-01,True,1,NaN,78.6,NaN,NaN,1752,1752.0420000000001
1752-02-01,True,2,NaN,77.3,NaN,NaN,1752,1752.124
1752-03-01,True,3,NaN,75.5,NaN,NaN,1752,1752.2060000000001
1752-04-01,True,4,NaN,77.3,NaN,NaN,1752,1752.29
1752-05-01,True,5,NaN,79.6,NaN,NaN,1752,1752.3729999999998
1752-06-01,True,6,NaN,79.9,NaN,NaN,1752,1752.4560000000001
1752-07-01,True,7,NaN,80.3,NaN,NaN,1752,1752.54
1752-08-01,True,8,NaN,79.7,NaN,NaN,1752,1752.624
1752-09-01,True,9,NaN,76.7,NaN,NaN,1752,1752.7079999999999
1752-10-01,True,10,NaN,73.4,NaN,NaN,1752,1752.7910000000002
1752-11-01,True,11,NaN,70.3,NaN,NaN,1752,1752.874
1752-12-01,True,12,NaN,68.1,NaN,NaN,1752,1752.9579999999999
1753-01-01,True,1,NaN,63.6,NaN,NaN,1753,1753.0420000000001
1753-02-01,True,2,NaN,60.4,NaN,NaN,1753,1753.1229999999998
1753-03-01,True,3,NaN,61.1,NaN,NaN,1753,1753.204
1753-04-01,True,4,NaN,59.7,NaN,NaN,1753,1753.2879999999998
1753-05-01,True,5,NaN,57.0,NaN,NaN,1753,1753.371
1753-06-01,True,6,NaN,53.4,NaN,NaN,1753,1753.455
1753-07-01,True,7,NaN,48.1,NaN,NaN,1753,1753.5379999999998
1753-08-01,True,8,NaN,43.0,NaN,NaN,1753,1753.6229999999998
1753-09-01,True,9,NaN,37.9,NaN,NaN,1753,1753.707
1753-10-01,True,10,NaN,33.2,NaN,NaN,1753,1753.79
1753-11-01,True,11,NaN,30.4,NaN,NaN,1753,1753.874
1753-12-01,True,12,NaN,29.0,NaN,NaN,1753,1753.9579999999999
1754-01-01,True,1,NaN,28.5,NaN,NaN,1754,1754.0420000000001
1754-02-01,True,2,NaN,26.4,NaN,NaN,1754,1754.1229999999998
1754-03-01,True,3,NaN,23.2,NaN,NaN,1754,1754.204
1754-04-01,True,4,NaN,21.7,NaN,NaN,1754,1754.2879999999998
1754-05-01,True,5,NaN,21.2,NaN,NaN,1754,1754.371
1754-06-01,True,6,NaN,20.5,NaN,NaN,1754,1754.455
1754-07-01,True,7,NaN,21.1,NaN,NaN,1754,1754.5379999999998
1754-08-01,True,8,NaN,22.3,NaN,NaN,1754,1754.6229999999998
1754-09-01,True,9,NaN,23.3,NaN,NaN,1754,1754.707
1754-10-01,True,10,NaN,23.1,NaN,NaN,1754,1754.79
1754-11-01,True,11,NaN,21.2,NaN,NaN,1754,1754.874
1754-12-01,True,12,NaN,17.9,NaN,NaN,1754,1754.9579999999999
1755-01-01,True,1,NaN,15.3,NaN,NaN,1755,1755.0420000000001
1755-02-01,True,2,NaN,14.0,NaN,NaN,1755,1755.1229999999998
1755-03-01,True,3,NaN,14.0,NaN,NaN,1755,1755.204
1755-04-01,True,4,NaN,14.7,NaN,NaN,1755,1755.2879999999998
1755-05-01,True,5,NaN,14.2,NaN,NaN,1755,1755.371
1755-06-01,True,6,NaN,14.8,NaN,NaN,1755,1755.455
1755-07-01,True,7,NaN,16.1,NaN,NaN,1755,1755.5379999999998
1755-08-01,True,8,NaN,16.0,NaN,NaN,1755,1755.6229999999998
1755-09-01,True,9,NaN,15.6,NaN,NaN,1755,1755.707
1755-10-01,True,10,NaN,15.7,NaN,NaN,1755,1755.79
1755-11-01,True,11,NaN,16.8,NaN,NaN,1755,1755.874
1755-12-01,True,12,NaN,18.5,NaN,NaN,1755,1755.9579999999999
1756-01-01,True,1,NaN,19.1,NaN,NaN,1756,1756.0420000000001
1756-02-01,True,2,NaN,19.0,NaN,NaN,1756,1756.124
1756-03-01,True,3,NaN,18.8,NaN,NaN,1756,1756.2060000000001
1756-04-01,True,4,NaN,17.7,NaN,NaN,1756,1756.29
1756-05-01,True,5,NaN,17.7,NaN,NaN,1756,1756.3729999999998
1756-06-01,True,6,NaN,17.7,NaN,NaN,1756,1756.4560000000001
1756-07-01,True,7,NaN,17.1,NaN,NaN,1756,1756.54
1756-08-01,True,8,NaN,18.2,NaN,NaN,1756,1756.624
1756-09-01,True,9,NaN,20.6,NaN,NaN,1756,1756.7079999999999
1756-10-01,True,10,NaN,23.5,NaN,NaN,1756,1756.7910000000002
1756-11-01,True,11,NaN,26.7,NaN,NaN,1756,1756.874
1756-12-01,True,12,NaN,28.5,NaN,NaN,1756,1756.9579999999999
1757-01-01,True,1,NaN,29.9,NaN,NaN,1757,1757.0420000000001
1757-02-01,True,2,NaN,34.6,NaN,NaN,1757,1757.1229999999998
1757-03-01,True,3,NaN,39.6,NaN,NaN,1757,1757.204
1757-04-01,True,4,NaN,42.8,NaN,NaN,1757,1757.2879999999998
1757-05-01,True,5,NaN,47.4,NaN,NaN,1757,1757.371
1757-06-01,True,6,NaN,52.4,NaN,NaN,1757,1757.455
1757-07-01,True,7,NaN,55.7,NaN,NaN,1757,1757.5379999999998
1757-08-01,True,8,NaN,59.5,NaN,NaN,1757,1757.6229999999998
1757-09-01,True,9,NaN,63.2,NaN,NaN,1757,1757.707
1757-10-01,True,10,NaN,67.7,NaN,NaN,1757,1757.79
1757-11-01,True,11,NaN,71.2,NaN,NaN,1757,1757.874
1757-12-01,True,12,NaN,74.0,NaN,NaN,1757,1757.9579999999999
1758-01-01,True,1,NaN,77.6,NaN,NaN,1758,1758.0420000000001
1758-02-01,True,2,NaN,78.0,NaN,NaN,1758,1758.1229999999998
1758-03-01,True,3,NaN,78.7,NaN,NaN,1758,1758.204
1758-04-01,True,4,NaN,80.7,NaN,NaN,1758,1758.2879999999998
1758-05-01,True,5,NaN,79.5,NaN,NaN,1758,1758.371
1758-06-01,True,6,NaN,78.7,NaN,NaN,1758,1758.455
1758-07-01,True,7,NaN,80.1,NaN,NaN,1758,1758.5379999999998
1758-08-01,True,8,NaN,80.3,NaN,NaN,1758,1758.6229999999998
1758-09-01,True,9,NaN,79.6,NaN,NaN,1758,1758.707
1758-10-01,True,10,NaN,77.6,NaN,NaN,1758,1758.79
1758-11-01,True,11,NaN,76.1,NaN,NaN,1758,1758.874
1758-12-01,True,12,NaN,76.6,NaN,NaN,1758,1758.9579999999999
1759-01-01,True,1,NaN,77.4,NaN,NaN,1759,1759.0420000000001
1759-02-01,True,2,NaN,80.2,NaN,NaN,1759,1759.1229999999998
1759-03-01,True,3,NaN,83.5,NaN,NaN,1759,1759.204
1759-04-01,True,4,NaN,86.0,NaN,NaN,1759,1759.2879999999998
1759-05-01,True,5,NaN,87.8,NaN,NaN,1759,1759.371
1759-06-01,True,6,NaN,89.0,NaN,NaN,1759,1759.455
1759-07-01,True,7,NaN,91.3,NaN,NaN,1759,1759.5379999999998
1759-08-01,True,8,NaN,93.7,NaN,NaN,1759,1759.6229999999998
1759-09-01,True,9,NaN,96.7,NaN,NaN,1759,1759.707
1759-10-01,True,10,NaN,99.4,NaN,NaN,1759,1759.79
1759-11-01,True,11,NaN,101.8,NaN,NaN,1759,1759.874
1759-12-01,True,12,NaN,103.3,NaN,NaN,1759,1759.9579999999999
1760-01-01,True,1,NaN,104.2,NaN,NaN,1760,1760.0420000000001
1760-02-01,True,2,NaN,105.5,NaN,NaN,1760,1760.124
1760-03-01,True,3,NaN,104.7,NaN,NaN,1760,1760.2060000000001
1760-04-01,True,4,NaN,103.0,NaN,NaN,1760,1760.29
1760-05-01,True,5,NaN,103.3,NaN,NaN,1760,1760.3729999999998
1760-06-01,True,6,NaN,104.5,NaN,NaN,1760,1760.4560000000001
1760-07-01,True,7,NaN,105.0,NaN,NaN,1760,1760.54
1760-08-01,True,8,NaN,107.3,NaN,NaN,1760,1760.624
1760-09-01,True,9,NaN,109.9,NaN,NaN,1760,1760.7079999999999
1760-10-01,True,10,NaN,111.3,NaN,NaN,1760,1760.7910000000002
1760-11-01,True,11,NaN,114.7,NaN,NaN,1760,1760.874
1760-12-01,True,12,NaN,120.7,NaN,NaN,1760,1760.9579999999999
1761-01-01,True,1,NaN,126.1,NaN,NaN,1761,1761.0420000000001
1761-02-01,True,2,NaN,129.2,NaN,NaN,1761,1761.1229999999998
1761-03-01,True,3,NaN,133.0,NaN,NaN,1761,1761.204
1761-04-01,True,4,NaN,138.4,NaN,NaN,1761,1761.2879999999998
1761-05-01,True,5,NaN,143.1,NaN,NaN,1761,1761.371
1761-06-01,True,6,NaN,144.1,NaN,NaN,1761,1761.455
1761-07-01,True,7,NaN,141.3,NaN,NaN,1761,1761.5379999999998
1761-08-01,True,8,NaN,138.2,NaN,NaN,1761,1761.6229999999998
1761-09-01,True,9,NaN,134.5,NaN,NaN,1761,1761.707
1761-10-01,True,10,NaN,131.3,NaN,NaN,1761,1761.79
1761-11-01,True,11,NaN,125.8,NaN,NaN,1761,1761.874
1761-12-01,True,12,NaN,119.6,NaN,NaN,1761,1761.9579999999999
1762-01-01,True,1,NaN,113.8,NaN,NaN,1762,1762.0420000000001
1762-02-01,True,2,NaN,108.0,NaN,NaN,1762,1762.1229999999998
1762-03-01,True,3,NaN,104.2,NaN,NaN,1762,1762.204
1762-04-01,True,4,NaN,100.6,NaN,NaN,1762,1762.2879999999998
1762-05-01,True,5,NaN,98.4,NaN,NaN,1762,1762.371
1762-06-01,True,6,NaN,99.7,NaN,NaN,1762,1762.455
1762-07-01,True,7,NaN,102.8,NaN,NaN,1762,1762.5379999999998
1762-08-01,True,8,NaN,100.8,NaN,NaN,1762,1762.6229999999998
1762-09-01,True,9,NaN,97.2,NaN,NaN,1762,1762.707
1762-10-01,True,10,NaN,94.5,NaN,NaN,1762,1762.79
1762-11-01,True,11,NaN,92.1,NaN,NaN,1762,1762.874
1762-12-01,True,12,NaN,88.8,NaN,NaN,1762,1762.9579999999999
1763-01-01,True,1,NaN,87.3,NaN,NaN,1763,1763.0420000000001
1763-02-01,True,2,NaN,85.9,NaN,NaN,1763,1763.1229999999998
1763-03-01,True,3,NaN,83.0,NaN,NaN,1763,1763.204
1763-04-01,True,4,NaN,81.3,NaN,NaN,1763,1763.2879999999998
1763-05-01,True,5,NaN,78.6,NaN,NaN,1763,1763.371
1763-06-01,True,6,NaN,76.3,NaN,NaN,1763,1763.455
1763-07-01,True,7,NaN,75.4,NaN,NaN,1763,1763.5379999999998
1763-08-01,True,8,NaN,77.6,NaN,NaN,1763,1763.6229999999998
1763-09-01,True,9,NaN,79.9,NaN,NaN,1763,1763.707
1763-10-01,True,10,NaN,80.4,NaN,NaN,1763,1763.79
1763-11-01,True,11,NaN,81.3,NaN,NaN,1763,1763.874
1763-12-01,True,12,NaN,81.7,NaN,NaN,1763,1763.9579999999999
1764-01-01,True,1,NaN,79.7,NaN,NaN,1764,1764.0420000000001
1764-02-01,True,2,NaN,78.2,NaN,NaN,1764,1764.124
1764-03-01,True,3,NaN,75.7,NaN,NaN,1764,1764.2060000000001
1764-04-01,True,4,NaN,71.7,NaN,NaN,1764,1764.29
1764-05-01,True,5,NaN,68.0,NaN,NaN,1764,1764.3729999999998
1764-06-01,True,6,NaN,63.1,NaN,NaN,1764,1764.4560000000001
1764-07-01,True,7,NaN,58.1,NaN,NaN,1764,1764.54
1764-08-01,True,8,NaN,53.3,NaN,NaN,1764,1764.624
1764-09-01,True,9,NaN,49.9,NaN,NaN,1764,1764.7079999999999
1764-10-01,True,10,NaN,48.0,NaN,NaN,1764,1764.7910000000002
1764-11-01,True,11,NaN,45.4,NaN,NaN,1764,1764.874
1764-12-01,True,12,NaN,43.1,NaN,NaN,1764,1764.9579999999999
1765-01-01,True,1,NaN,42.2,NaN,NaN,1765,1765.0420000000001
1765-02-01,True,2,NaN,41.9,NaN,NaN,1765,1765.1229999999998
1765-03-01,True,3,NaN,41.1,NaN,NaN,1765,1765.204
1765-04-01,True,4,NaN,39.2,NaN,NaN,1765,1765.2879999999998
1765-05-01,True,5,NaN,37.4,NaN,NaN,1765,1765.371
1765-06-01,True,6,NaN,35.7,NaN,NaN,1765,1765.455
1765-07-01,True,7,NaN,34.0,NaN,NaN,1765,1765.5379999999998
1765-08-01,True,8,NaN,32.1,NaN,NaN,1765,1765.6229999999998
1765-09-01,True,9,NaN,31.9,NaN,NaN,1765,1765.707
1765-10-01,True,10,NaN,31.6,NaN,NaN,1765,1765.79
1765-11-01,True,11,NaN,30.9,NaN,NaN,1765,1765.874
1765-12-01,True,12,NaN,30.2,NaN,NaN,1765,1765.9579999999999
1766-01-01,True,1,NaN,27.4,NaN,NaN,1766,1766.0420000000001
1766-02-01,True,2,NaN,24.0,NaN,NaN,1766,1766.1229999999998
1766-03-01,True,3,NaN,21.4,NaN,NaN,1766,1766.204
1766-04-01,True,4,NaN,19.9,NaN,NaN,1766,1766.2879999999998
1766-05-01,True,5,NaN,18.7,NaN,NaN,1766,1766.371
1766-06-01,True,6,NaN,18.6,NaN,NaN,1766,1766.455
1766-07-01,True,7,NaN,20.1,NaN,NaN,1766,1766.5379999999998
1766-08-01,True,8,NaN,22.5,NaN,NaN,1766,1766.6229999999998
1766-09-01,True,9,NaN,24.2,NaN,NaN,1766,1766.707
1766-10-01,True,10,NaN,26.6,NaN,NaN,1766,1766.79
1766-11-01,True,11,NaN,28.6,NaN,NaN,1766,1766.874
1766-12-01,True,12,NaN,30.9,NaN,NaN,1766,1766.9579999999999
1767-01-01,True,1,NaN,34.3,NaN,NaN,1767,1767.0420000000001
1767-02-01,True,2,NaN,38.2,NaN,NaN,1767,1767.1229999999998
1767-03-01,True,3,NaN,43.4,NaN,NaN,1767,1767.204
1767-04-01,True,4,NaN,48.8,NaN,NaN,1767,1767.2879999999998
1767-05-01,True,5,NaN,54.9,NaN,NaN,1767,1767.371
1767-06-01,True,6,NaN,60.7,NaN,NaN,1767,1767.455
1767-07-01,True,7,NaN,64.9,NaN,NaN,1767,1767.5379999999998
1767-08-01,True,8,NaN,69.2,NaN,NaN,1767,1767.6229999999998
1767-09-01,True,9,NaN,71.9,NaN,NaN,1767,1767.707
1767-10-01,True,10,NaN,72.8,NaN,NaN,1767,1767.79
1767-11-01,True,11,NaN,76.8,NaN,NaN,1767,1767.874
1767-12-01,True,12,NaN,83.2,NaN,NaN,1767,1767.9579999999999
1768-01-01,True,1,NaN,88.4,NaN,NaN,1768,1768.0420000000001
1768-02-01,True,2,NaN,92.4,NaN,NaN,1768,1768.124
1768-03-01,True,3,NaN,96.4,NaN,NaN,1768,1768.2060000000001
1768-04-01,True,4,NaN,101.0,NaN,NaN,1768,1768.29
1768-05-01,True,5,NaN,105.8,NaN,NaN,1768,1768.3729999999998
1768-06-01,True,6,NaN,112.4,NaN,NaN,1768,1768.4560000000001
1768-07-01,True,7,NaN,117.8,NaN,NaN,1768,1768.54
1768-08-01,True,8,NaN,119.1,NaN,NaN,1768,1768.624
1768-09-01,True,9,NaN,120.2,NaN,NaN,1768,1768.7079999999999
1768-10-01,True,10,NaN,125.2,NaN,NaN,1768,1768.7910000000002
1768-11-01,True,11,NaN,128.7,NaN,NaN,1768,1768.874
1768-12-01,True,12,NaN,129.6,NaN,NaN,1768,1768.9579999999999
1769-01-01,True,1,NaN,135.4,NaN,NaN,1769,1769.0420000000001
1769-02-01,True,2,NaN,143.7,NaN,NaN,1769,1769.1229999999998
1769-03-01,True,3,NaN,152.5,NaN,NaN,1769,1769.204
1769-04-01,True,4,NaN,163.2,NaN,NaN,1769,1769.2879999999998
1769-05-01,True,5,NaN,172.8,NaN,NaN,1769,1769.371
1769-06-01,True,6,NaN,176.8,NaN,NaN,1769,1769.455
1769-07-01,True,7,NaN,178.9,NaN,NaN,1769,1769.5379999999998
1769-08-01,True,8,NaN,186.4,NaN,NaN,1769,1769.6229999999998
1769-09-01,True,9,NaN,193.0,NaN,NaN,1769,1769.707
1769-10-01,True,10,NaN,190.9,NaN,NaN,1769,1769.79
1769-11-01,True,11,NaN,187.5,NaN,NaN,1769,1769.874
1769-12-01,True,12,NaN,186.5,NaN,NaN,1769,1769.9579999999999
1770-01-01,True,1,NaN,185.1,NaN,NaN,1770,1770.0420000000001
1770-02-01,True,2,NaN,184.9,NaN,NaN,1770,1770.1229999999998
1770-03-01,True,3,NaN,182.2,NaN,NaN,1770,1770.204
1770-04-01,True,4,NaN,175.3,NaN,NaN,1770,1770.2879999999998
1770-05-01,True,5,NaN,170.4,NaN,NaN,1770,1770.371
