# Solar cycle extrema calculated using 13-Month Smoothed values. Information
# for Cycles 1 through 24 was extracted from Tables (1) and (2) in The Solar 
# Cycle Living Review by D. H. Hathaway. The citation is
# 
#     Hathaway, D. H. (2015). The solar cycle. Living Reviews in Solar 
#     Physics, 12(1). https://doi.org/10.1007/lrsp-2015-4
#
# Author: B.L.Alterman
# Date:   2018-08-08
# e-mail: balterma@umich.edu
#
# Notes
# -----
# pd.read_csv("extrema.csv", header=0, skiprows=19, index_col=0)
#
# TODO
# ----
# Update source to http://sidc.oma.be/silso/DATA/Cycles/TableCyclesMiMa.txt

Number,Min,Max
1,1755-02-01,1761-06-01
2,1766-06-01,1769-09-01
3,1775-06-01,1778-05-01
4,1784-09-01,1788-02-01
5,1798-04-01,1805-02-01
6,1810-08-01,1816-05-01
7,1823-05-01,1829-11-01
8,1833-11-01,1837-03-01
9,1843-07-01,1848-02-01
10,1855-12-01,1860-02-01
11,1867-03-01,1870-08-01
12,1878-12-01,1883-12-01
13,1890-03-01,1894-01-01
14,1902-01-01,1906-02-01
15,1913-07-01,1917-08-01
16,1923-08-01,1928-04-01
17,1933-09-01,1937-04-01
18,1944-02-01,1947-05-01
19,1954-04-01,1958-03-01
20,1964-10-01,1968-11-01
21,1976-03-01,1979-12-01
22,1986-09-01,1989-07-01
23,1996-05-01,2000-04-01
24,2008-12-01,2014-04-01
25,2019-02-22,
